offer_id,offer_type,publish_hour,quantity,price,day_of_week,sell_time_minutes,expired,pickup_hour,velocity_class,date,_demand_factor,day_name
O00033,BREAKFAST,6,53,10.77,0,66.77090934004642,1,,medium,2024-02-02,0.5,Friday
O00034,VEGAN,13,20,14.9,5,99.38210522581636,1,,medium,2024-02-03,0.5,Saturday
O00035,CAFE,8,7,11.18,0,47.76452493733278,0,15.0,medium,2024-02-04,0.5,Sunday
O00036,PASTA,10,20,12.83,1,164.13500912420432,1,,slow,2024-02-05,0.5,Monday
O00037,GRILL,19,6,5.69,5,109.27190525837744,1,,medium,2024-02-06,0.5,Tuesday
O00038,SALAD,10,21,14.97,2,153.76359991731712,1,,slow,2024-02-07,0.5,Wednesday
O00039,SALAD,13,12,4.42,1,27.511183712696706,0,20.0,medium,2024-02-08,0.5,Thursday
O00040,BRUNCH,10,12,7.17,4,198.32367511381094,1,,slow,2024-02-09,0.5,Friday
O00041,CURRY,15,17,10.68,3,260.9890648795229,1,,slow,2024-02-10,0.5,Saturday
O00042,BREAKFAST,10,17,9.23,6,99.36499237809764,1,,medium,2024-02-11,0.5,Sunday
O00043,PIZZA,14,9,31.58,1,52.34417711783274,1,,medium,2024-02-12,0.5,Monday
O00044,DESSERT,14,19,6.92,6,40.29109971701465,0,19.0,medium,2024-02-13,0.5,Tuesday
O00045,SALAD,14,23,12.79,6,86.25972061350048,1,,medium,2024-02-14,0.5,Wednesday
O00046,BREAKFAST,6,8,3.6,2,64.74269043948263,1,,medium,2024-02-15,0.5,Thursday
O00047,BAKERY,16,13,11.76,3,117.62633227487154,1,,medium,2024-02-16,0.5,Friday
O00048,FAST_FOOD,14,11,12.16,3,86.59186528733906,1,,medium,2024-02-17,0.5,Saturday
O00049,BREAKFAST,6,10,12.74,2,65.72345081234195,0,,medium,2024-02-18,0.5,Sunday
O00050,BURGER,14,26,14.86,6,202.56007095112815,0,,slow,2024-02-19,0.5,Monday
O00051,BRUNCH,10,6,5.97,2,22.516797009640516,0,17.0,medium,2024-02-20,0.5,Tuesday
O00052,CAFE,7,14,13.59,3,88.14549309098345,1,,medium,2024-02-21,0.5,Wednesday
O00053,CURRY,17,21,11.18,0,145.3279575795989,1,,slow,2024-02-22,0.5,Thursday
O00054,SEAFOOD,15,4,8.37,3,252.00549280091133,1,,slow,2024-02-23,0.5,Friday
O00055,BBQ,18,23,5.57,2,78.04085902768429,1,,medium,2024-02-24,0.5,Saturday
O00056,SUSHI,10,11,12.77,4,99.61094908280992,1,,medium,2024-02-25,0.5,Sunday
O00057,CAFE,10,27,11.39,2,110.61659204220743,1,,medium,2024-02-26,0.5,Monday
O00058,PASTA,10,11,5.64,4,96.93182705696564,1,,medium,2024-02-27,0.5,Tuesday
O00059,CAFE,8,15,12.93,3,65.01622455563478,1,,medium,2024-02-28,0.5,Wednesday
O00060,BAKERY,19,19,4.2,3,126.55545747237474,1,,slow,2024-02-29,0.5,Thursday
O00061,FINE_DINING,18,17,4.94,2,47.95422465281991,1,,medium,2024-03-01,0.5,Friday
O00062,TACO,14,12,11.73,3,45.56402536200299,1,,medium,2024-03-02,0.5,Saturday
O00063,PASTA,14,11,12.51,6,39.39477205519935,0,19.0,medium,2024-03-03,0.5,Sunday
O00064,FINE_DINING,15,49,12.3,0,64.01196614961627,1,,medium,2024-03-04,0.5,Monday
O00065,BREAKFAST,10,26,7.49,3,98.45841096621089,1,,medium,2024-03-05,0.5,Tuesday
O00066,CAFE,7,5,4.8,0,142.7158344690975,1,,slow,2024-03-06,0.5,Wednesday
O00067,FAST_FOOD,13,58,13.79,4,87.14172879656869,1,,medium,2024-03-07,0.5,Thursday
O00068,BURGER,10,10,6.66,5,136.25100080807738,1,,slow,2024-03-08,0.5,Friday
O00069,BREAKFAST,7,23,11.52,3,74.3591890618391,1,,medium,2024-03-09,0.5,Saturday
O00070,FAST_FOOD,10,23,7.24,6,51.59357527574297,1,,medium,2024-03-10,0.5,Sunday
O00071,CAFE,7,13,10.96,4,43.407590084089335,1,,medium,2024-03-11,0.5,Monday
O00072,DESSERT,17,16,14.44,3,311.1402028228335,0,,slow,2024-03-12,0.5,Tuesday
O00073,BURGER,19,12,5.0,4,56.68040721918871,1,,medium,2024-03-13,0.5,Wednesday
O00074,SOUP,12,12,4.75,2,115.68755978437504,1,,medium,2024-03-14,0.5,Thursday
O00075,PASTA,12,8,13.35,1,40.38617731503513,1,,medium,2024-03-15,0.5,Friday
O00076,TACO,10,18,9.69,2,51.5825176756828,1,,medium,2024-03-16,0.5,Saturday
O00077,GRILL,18,5,13.24,5,74.94681715863337,1,,medium,2024-03-17,0.5,Sunday
O00078,BRUNCH,8,7,11.59,0,43.78991092252801,1,,medium,2024-03-18,0.5,Monday
O00079,PASTA,17,10,8.23,0,115.29163344585572,1,,medium,2024-03-19,0.5,Tuesday
O00080,DESSERT,15,28,5.82,2,144.61221941564807,1,,slow,2024-03-20,0.5,Wednesday
O00081,PASTA,19,8,11.52,5,158.41293356326162,1,,slow,2024-03-21,0.5,Thursday
O00082,GRILL,19,16,15.48,4,44.59629759371775,1,,medium,2024-03-22,0.5,Friday
O00083,PASTA,16,13,14.51,5,96.75763510318313,1,,medium,2024-03-23,0.5,Saturday
O00084,CURRY,16,26,3.83,0,77.26148828553917,1,,medium,2024-03-24,0.5,Sunday
O00085,GRILL,19,13,9.58,5,54.307386002822504,1,,medium,2024-03-25,0.5,Monday
O00086,BBQ,16,9,26.28,5,36.337654075121094,0,,medium,2024-03-26,0.5,Tuesday
O00087,FAST_FOOD,10,10,11.54,5,30.159205088781917,1,,medium,2024-03-27,0.5,Wednesday
O00088,TACO,19,47,11.47,5,114.93068284369002,1,,medium,2024-03-28,0.5,Thursday
O00089,CAFE,8,19,7.49,3,50.61387631741069,1,,medium,2024-03-29,0.5,Friday
O00090,SUSHI,16,9,10.54,3,54.7447481959364,1,,medium,2024-03-30,0.5,Saturday
O00091,CURRY,14,16,12.78,0,48.595790439244254,1,,medium,2024-01-01,0.5,Monday
O00092,BBQ,17,21,4.13,4,29.619439735763493,1,,medium,2024-01-02,0.5,Tuesday
O00093,SALAD,11,17,11.27,2,98.51345496657423,1,,medium,2024-01-03,0.5,Wednesday
O00094,TACO,12,6,11.78,3,131.22961117915816,1,,slow,2024-01-04,0.5,Thursday
O00095,SALAD,11,7,12.38,3,27.806483956769064,0,11.0,medium,2024-01-05,0.5,Friday
O00096,BURGER,18,11,5.07,5,19.514604739043584,0,19.0,medium,2024-01-06,0.5,Saturday
O00097,SANDWICH,12,17,9.01,5,93.16589831549058,1,,medium,2024-01-07,0.5,Sunday
O00098,BURGER,16,22,5.0,5,14.943170015012893,1,,fast,2024-01-08,0.5,Monday
O00099,SOUP,12,20,8.87,4,6.2978336896808145,0,14.0,fast,2024-01-09,0.5,Tuesday
O00100,BBQ,20,10,7.72,0,102.3525909622539,0,,medium,2024-01-10,0.5,Wednesday
O00101,BREAKFAST,9,23,12.48,5,203.39059231262536,1,,slow,2024-01-11,0.5,Thursday
O00102,SALAD,10,14,7.78,6,44.76543810206642,0,,medium,2024-01-12,0.5,Friday
O00103,PASTA,12,17,14.49,2,161.30010272460618,1,,slow,2024-01-13,0.5,Saturday
O00104,CAFE,10,13,8.29,1,45.34254206704389,1,,medium,2024-01-14,0.5,Sunday
O00105,BURGER,13,18,9.22,6,45.83485640623439,1,,medium,2024-01-15,0.5,Monday
O00106,CURRY,16,11,14.39,5,89.39153608995035,1,,medium,2024-01-16,0.5,Tuesday
O00107,BAKERY,13,13,5.06,0,89.8868834203781,1,,medium,2024-01-17,0.5,Wednesday
O00108,PIZZA,16,24,12.92,0,66.59079461223484,0,16.0,medium,2024-01-18,0.5,Thursday
O00109,SANDWICH,11,54,8.37,5,97.08491838339879,1,,medium,2024-01-19,0.5,Friday
O00110,BRUNCH,8,9,15.66,1,131.88572776174803,1,,slow,2024-01-20,0.5,Saturday
O00111,SEAFOOD,14,26,7.67,6,188.85221667447027,1,,slow,2024-01-21,0.5,Sunday
O00112,CURRY,16,13,10.94,3,26.21825324084089,1,,medium,2024-01-22,0.5,Monday
O00113,SALAD,10,12,8.1,1,71.24581774116744,1,,medium,2024-01-23,0.5,Tuesday
O00114,BAKERY,15,11,15.67,1,33.720662098750346,0,22.0,medium,2024-01-24,0.5,Wednesday
O00115,TACO,19,7,9.32,0,1.10969689493301,0,22.0,fast,2024-01-25,0.5,Thursday
O00116,TACO,10,20,12.51,1,98.9884377761801,1,,medium,2024-01-26,0.5,Friday
O00117,CAFE,10,12,8.6,1,8.770537386108629,0,15.0,fast,2024-01-27,0.5,Saturday
O00118,SALAD,10,4,4.91,6,25.558967655126562,1,,medium,2024-01-28,0.5,Sunday
O00119,CURRY,11,8,9.24,1,233.87689257270492,1,,slow,2024-01-29,0.5,Monday
O00120,SUSHI,14,9,8.32,2,161.97632148075414,1,,slow,2024-01-30,0.5,Tuesday
O00121,SALAD,13,16,5.02,3,93.16203247338363,1,,medium,2024-01-31,0.5,Wednesday
O00122,PIZZA,19,13,3.46,3,163.9824422108854,1,,slow,2024-02-01,0.5,Thursday
O00123,VEGAN,17,19,12.71,0,111.16162423867343,1,,medium,2024-02-02,0.5,Friday
O00124,VEGAN,16,18,9.51,2,146.36960649702777,1,,slow,2024-02-03,0.5,Saturday
O00125,PASTA,15,6,14.56,6,86.31952798770774,1,,medium,2024-02-04,0.5,Sunday
O00126,BRUNCH,10,7,6.54,2,11.61618334464334,0,10.0,fast,2024-02-05,0.5,Monday
O00127,GRILL,20,9,6.95,3,189.91127475886086,1,,slow,2024-02-06,0.5,Tuesday
O00128,PASTA,13,21,6.0,4,53.836410474368364,1,,medium,2024-02-07,0.5,Wednesday
O00129,CURRY,17,42,3.9,3,118.55873134246835,1,,medium,2024-02-08,0.5,Thursday
O00130,VEGAN,10,19,14.64,1,149.6240213952638,1,,slow,2024-02-09,0.5,Friday
O00131,SEAFOOD,12,7,5.7,3,65.48553792490074,1,,medium,2024-02-10,0.5,Saturday
O00132,SEAFOOD,17,6,12.17,1,108.70592098627988,1,,medium,2024-02-11,0.5,Sunday
O00133,BRUNCH,8,14,25.93,5,63.283780747080286,1,,medium,2024-02-12,0.5,Monday
O00134,SUSHI,11,11,5.65,2,53.452602259314276,0,,medium,2024-02-13,0.5,Tuesday
O00135,FAST_FOOD,10,8,11.05,2,162.78470512558474,1,,slow,2024-02-14,0.5,Wednesday
O00136,PASTA,16,11,6.17,6,18.30741674818632,1,,medium,2024-02-15,0.5,Thursday
O00137,PIZZA,14,22,5.23,1,139.62814878043935,1,,slow,2024-02-16,0.5,Friday
O00138,DESSERT,11,23,14.34,5,98.0201860258751,1,,medium,2024-02-17,0.5,Saturday
O00139,BBQ,17,16,9.81,0,106.7378604073588,1,,medium,2024-02-18,0.5,Sunday
O00140,BRUNCH,8,22,11.98,1,140.46345899459263,1,,slow,2024-02-19,0.5,Monday
O00141,FINE_DINING,15,18,8.0,6,140.60219362482965,1,,slow,2024-02-20,0.5,Tuesday
O00142,BAKERY,19,17,10.48,0,17.86944216661363,0,21.0,medium,2024-02-21,0.5,Wednesday
O00143,VEGAN,18,10,12.94,3,96.6308045227695,1,,medium,2024-02-22,0.5,Thursday
O00144,VEGAN,17,20,9.39,2,14.466281862934137,1,,fast,2024-02-23,0.5,Friday
O00145,DESSERT,19,15,6.46,1,80.11160492433724,0,22.0,medium,2024-02-24,0.5,Saturday
O00146,DESSERT,10,20,11.02,5,116.50243362034743,1,,medium,2024-02-25,0.5,Sunday
O00147,BBQ,18,8,6.38,5,28.749014392990084,0,21.0,medium,2024-02-26,0.5,Monday
O00148,FAST_FOOD,11,25,6.64,0,49.73221263933959,1,,medium,2024-02-27,0.5,Tuesday
O00149,BREAKFAST,8,6,3.83,5,64.0614051965064,1,,medium,2024-02-28,0.5,Wednesday
O00150,BBQ,19,20,8.14,0,127.73665281639705,1,,slow,2024-02-29,0.5,Thursday
O00151,BAKERY,11,39,4.34,4,23.59307558882881,0,18.0,medium,2024-03-01,0.5,Friday
O00152,SALAD,11,13,7.95,1,21.70469023849102,1,,medium,2024-03-02,0.5,Saturday
O00153,FINE_DINING,15,22,16.17,4,105.69068288585704,1,,medium,2024-03-03,0.5,Sunday
O00154,SEAFOOD,19,12,14.0,1,82.57229239080286,1,,medium,2024-03-04,0.5,Monday
O00155,SEAFOOD,13,12,4.28,5,40.131598275274676,1,,medium,2024-03-05,0.5,Tuesday
O00156,SANDWICH,13,17,4.04,1,5.960817038389998,0,15.0,fast,2024-03-06,0.5,Wednesday
O00157,CURRY,16,22,2.91,0,64.24349333348954,1,,medium,2024-03-07,0.5,Thursday
O00158,SEAFOOD,15,9,8.47,6,90.21487789109742,1,,medium,2024-03-08,0.5,Friday
O00159,PASTA,15,21,10.95,4,14.48338563290553,0,15.0,fast,2024-03-09,0.5,Saturday
O00160,SALAD,14,42,12.77,3,78.38772181147935,0,,medium,2024-03-10,0.5,Sunday
O00161,SALAD,10,21,9.65,3,56.71135557040909,0,,medium,2024-03-11,0.5,Monday
O00162,DESSERT,15,9,13.81,3,43.72897730075954,1,,medium,2024-03-12,0.5,Tuesday
O00163,BAKERY,11,19,6.13,6,72.56254695713287,1,,medium,2024-03-13,0.5,Wednesday
O00164,CAFE,8,15,12.09,2,130.55805961465543,1,,slow,2024-03-14,0.5,Thursday
O00165,SALAD,13,11,4.5,0,17.775122559151164,1,15.0,medium,2024-03-15,0.5,Friday
O00166,TACO,16,10,23.22,4,85.74768080018063,0,,medium,2024-03-16,0.5,Saturday
O00167,CURRY,15,23,7.29,4,93.94523948364537,1,,medium,2024-03-17,0.5,Sunday
O00168,SANDWICH,14,20,3.39,1,88.17429248468032,1,,medium,2024-03-18,0.5,Monday
O00169,SEAFOOD,14,9,8.29,0,71.08325889440553,1,,medium,2024-03-19,0.5,Tuesday
O00170,SEAFOOD,19,21,9.7,6,54.58624284191391,1,,medium,2024-03-20,0.5,Wednesday
O00171,TACO,10,13,5.15,1,111.4013160730468,1,,medium,2024-03-21,0.5,Thursday
O00172,CURRY,18,4,5.56,0,127.50634808347093,0,22.0,slow,2024-03-22,0.5,Friday
O00173,TACO,12,15,10.75,5,73.22322166067018,1,,medium,2024-03-23,0.5,Saturday
O00174,SANDWICH,13,9,3.15,0,6.30102989833621,0,20.0,fast,2024-03-24,0.5,Sunday
O00175,SANDWICH,10,19,5.43,2,67.07576956349817,1,,medium,2024-03-25,0.5,Monday
O00176,BURGER,18,9,11.21,3,97.39013894658062,1,,medium,2024-03-26,0.5,Tuesday
O00177,BBQ,19,17,10.05,4,46.050783532417036,0,22.0,medium,2024-03-27,0.5,Wednesday
O00178,CAFE,6,10,13.5,2,76.0872728435457,1,,medium,2024-03-28,0.5,Thursday
O00179,FINE_DINING,14,24,6.49,3,101.90131904242251,1,,medium,2024-03-29,0.5,Friday
O00180,SANDWICH,10,18,4.47,4,60.62673348785636,1,,medium,2024-03-30,0.5,Saturday
O00181,PIZZA,13,23,14.34,4,77.55415257715158,1,,medium,2024-01-01,0.5,Monday
O00182,BRUNCH,7,16,15.33,3,50.10017745238265,1,,medium,2024-01-02,0.5,Tuesday
O00183,SANDWICH,14,10,11.09,1,21.96001366086622,1,,medium,2024-01-03,0.5,Wednesday
O00184,CAFE,10,13,6.41,2,71.21787641324644,1,,medium,2024-01-04,0.5,Thursday
O00185,PASTA,19,20,8.16,2,115.79252383062432,1,,medium,2024-01-05,0.5,Friday
O00186,DESSERT,10,6,10.18,6,93.1594284475869,1,,medium,2024-01-06,0.5,Saturday
O00187,BREAKFAST,6,5,9.52,5,4.486233933671051,0,11.0,fast,2024-01-07,0.5,Sunday
O00188,PIZZA,17,6,6.26,4,45.70257734661179,1,,medium,2024-01-08,0.5,Monday
O00189,SALAD,13,23,11.65,6,104.19668287858545,1,,medium,2024-01-09,0.5,Tuesday
O00190,BAKERY,10,10,5.44,5,51.75634259254877,1,,medium,2024-01-10,0.5,Wednesday
O00191,CURRY,10,10,14.83,5,71.3708107341729,1,,medium,2024-01-11,0.5,Thursday
O00192,TACO,16,7,6.79,0,52.715115976061966,1,,medium,2024-01-12,0.5,Friday
O00193,CAFE,10,5,3.32,4,16.620114065162625,0,10.0,medium,2024-01-13,0.5,Saturday
O00194,CAFE,8,22,3.76,6,100.24771427642892,1,,medium,2024-01-14,0.5,Sunday
O00195,TACO,16,12,6.13,3,47.160612385106255,0,19.0,medium,2024-01-15,0.5,Monday
O00196,SALAD,10,8,15.12,0,30.901777514616523,1,,medium,2024-01-16,0.5,Tuesday
O00197,BRUNCH,7,13,4.71,6,45.71959979284793,1,,medium,2024-01-17,0.5,Wednesday
O00198,SALAD,11,15,11.15,6,125.62450170302388,1,,slow,2024-01-18,0.5,Thursday
O00199,BAKERY,11,6,11.13,5,93.26819549226926,1,,medium,2024-01-19,0.5,Friday
O00200,SALAD,12,14,11.22,6,20.453739160324705,1,,medium,2024-01-20,0.5,Saturday
O00201,SANDWICH,12,21,3.7,2,97.55975585055931,1,,medium,2024-01-21,0.5,Sunday
O00202,BREAKFAST,9,21,5.76,0,43.33696197965338,1,,medium,2024-01-22,0.5,Monday
O00203,SUSHI,15,10,8.13,6,25.739851718325898,0,17.0,medium,2024-01-23,0.5,Tuesday
O00204,BAKERY,19,8,4.5,6,35.575349244155795,1,,medium,2024-01-24,0.5,Wednesday
O00205,SEAFOOD,16,14,8.73,6,111.56089995734564,1,,medium,2024-01-25,0.5,Thursday
O00206,GRILL,19,22,8.67,0,31.71133789963844,1,,medium,2024-01-26,0.5,Friday
O00207,BURGER,19,9,5.37,1,35.18989783461494,0,21.0,medium,2024-01-27,0.5,Saturday
O00208,FINE_DINING,16,16,3.12,4,22.22075843410241,0,21.0,medium,2024-01-28,0.5,Sunday
O00209,DESSERT,10,24,5.07,2,32.02363493436016,1,,medium,2024-01-29,0.5,Monday
O00210,SEAFOOD,12,15,3.38,0,57.896444200935875,1,,medium,2024-01-30,0.5,Tuesday
O00211,SOUP,13,5,9.92,4,196.8955811045026,1,,slow,2024-01-31,0.5,Wednesday
O00212,CURRY,13,41,5.28,0,96.73999847809314,1,,medium,2024-02-01,0.5,Thursday
O00213,BBQ,20,13,8.15,5,69.14872097343641,1,,medium,2024-02-02,0.5,Friday
O00214,PIZZA,12,19,7.61,5,38.270596677748394,1,,medium,2024-02-03,0.5,Saturday
O00215,FAST_FOOD,14,12,14.29,6,23.95797585858916,1,,medium,2024-02-04,0.5,Sunday
O00216,CAFE,8,20,9.95,4,56.638218318506404,1,,medium,2024-02-05,0.5,Monday
O00217,CAFE,10,10,14.52,2,110.08284685203009,1,,medium,2024-02-06,0.5,Tuesday
O00218,TACO,19,10,9.58,6,151.483721271929,1,,slow,2024-02-07,0.5,Wednesday
O00219,CURRY,10,18,8.56,4,90.89326932821318,1,,medium,2024-02-08,0.5,Thursday
O00220,BREAKFAST,7,16,13.88,0,53.906151693600236,1,,medium,2024-02-09,0.5,Friday
O00221,GRILL,17,6,13.45,2,113.61208275100913,1,,medium,2024-02-10,0.5,Saturday
O00222,CAFE,10,13,8.87,5,36.330884329877826,1,,medium,2024-02-11,0.5,Sunday
O00223,VEGAN,12,45,15.81,6,64.2000715282004,1,,medium,2024-02-12,0.5,Monday
O00224,GRILL,16,47,13.09,5,78.55588382598894,1,,medium,2024-02-13,0.5,Tuesday
O00225,TACO,10,12,4.8,6,1.3329908048803545,0,16.0,fast,2024-02-14,0.5,Wednesday
O00226,BURGER,11,6,14.06,5,87.05892273680543,1,,medium,2024-02-15,0.5,Thursday
O00227,BREAKFAST,8,27,7.78,2,87.24378587909871,1,,medium,2024-02-16,0.5,Friday
O00228,FINE_DINING,15,12,6.29,2,38.57154614605227,1,,medium,2024-02-17,0.5,Saturday
O00229,VEGAN,14,14,13.93,3,86.00998141411671,1,,medium,2024-02-18,0.5,Sunday
O00230,BRUNCH,6,12,3.61,5,120.48805346433926,1,,slow,2024-02-19,0.5,Monday
O00231,PASTA,14,5,3.3,6,82.76009178770317,1,,medium,2024-02-20,0.5,Tuesday
O00232,CAFE,10,20,8.11,6,123.8111321067951,1,,slow,2024-02-21,0.5,Wednesday
O00233,CURRY,14,9,7.37,4,50.1331868823199,1,,medium,2024-02-22,0.5,Thursday
O00234,BREAKFAST,9,11,7.95,0,70.1659218082456,1,,medium,2024-02-23,0.5,Friday
O00235,BURGER,16,12,6.69,3,56.12802474239459,1,,medium,2024-02-24,0.5,Saturday
O00236,CAFE,8,8,4.45,3,16.49805582090173,0,10.0,medium,2024-02-25,0.5,Sunday
O00237,SANDWICH,11,11,15.67,2,41.968758253778965,1,,medium,2024-02-26,0.5,Monday
O00238,BURGER,14,6,14.6,3,110.31359405959634,1,,medium,2024-02-27,0.5,Tuesday
O00239,CURRY,11,13,11.87,6,25.57836491230564,0,15.0,medium,2024-02-28,0.5,Wednesday
O00240,FINE_DINING,12,18,9.47,0,83.49219157458708,1,,medium,2024-02-29,0.5,Thursday
O00241,VEGAN,19,10,2.93,2,34.38021881128739,0,19.0,medium,2024-03-01,0.5,Friday
O00242,SEAFOOD,11,5,4.45,6,10.23879591185719,0,17.0,fast,2024-03-02,0.5,Saturday
O00243,VEGAN,19,13,6.8,4,83.53374615449324,1,,medium,2024-03-03,0.5,Sunday
O00244,BBQ,19,17,10.66,5,174.65325315805572,1,,slow,2024-03-04,0.5,Monday
O00245,SEAFOOD,12,17,12.65,3,84.11350212195097,1,,medium,2024-03-05,0.5,Tuesday
O00246,BRUNCH,9,17,6.05,0,141.59149120706113,1,,slow,2024-03-06,0.5,Wednesday
O00247,SANDWICH,12,15,6.12,6,68.37568969420985,1,,medium,2024-03-07,0.5,Thursday
O00248,SUSHI,14,6,6.56,3,30.406212485132258,0,15.0,medium,2024-03-08,0.5,Friday
O00249,VEGAN,10,12,10.51,6,44.73789627287832,1,,medium,2024-03-09,0.5,Saturday
O00250,SALAD,11,9,4.17,5,83.73335396320529,1,,medium,2024-03-10,0.5,Sunday
O00251,CAFE,8,6,12.73,5,134.94867141498887,1,,slow,2024-03-11,0.5,Monday
O00252,PASTA,17,6,13.24,3,240.28666938671472,1,,slow,2024-03-12,0.5,Tuesday
O00253,CAFE,7,26,9.15,3,29.53435150396827,1,,medium,2024-03-13,0.5,Wednesday
O00254,PASTA,13,20,5.3,2,112.236759643641,1,,medium,2024-03-14,0.5,Thursday
O00255,TACO,19,9,6.22,0,14.356244070923193,0,21.0,fast,2024-03-15,0.5,Friday
O00256,FAST_FOOD,14,11,7.82,1,57.18970428962018,1,,medium,2024-03-16,0.5,Saturday
O00257,DESSERT,12,21,11.83,0,87.97121360539049,1,,medium,2024-03-17,0.5,Sunday
O00258,TACO,10,15,11.77,5,129.2105226684139,1,,slow,2024-03-18,0.5,Monday
O00259,BURGER,17,19,7.04,0,48.69153745266548,1,,medium,2024-03-19,0.5,Tuesday
O00260,DESSERT,12,25,10.05,0,134.75291449298572,1,,slow,2024-03-20,0.5,Wednesday
O00261,FINE_DINING,18,15,5.46,6,102.9532990207508,1,,medium,2024-03-21,0.5,Thursday
O00262,PASTA,12,14,8.32,3,104.46523829504369,1,,medium,2024-03-22,0.5,Friday
O00263,DESSERT,10,4,3.9,6,206.3807786205079,1,,slow,2024-03-23,0.5,Saturday
O00264,TACO,18,11,7.24,2,27.56063154242966,0,20.0,medium,2024-03-24,0.5,Sunday
O00265,FINE_DINING,14,7,10.06,1,125.22755080638562,1,,slow,2024-03-25,0.5,Monday
O00266,SUSHI,19,22,4.71,4,25.643090567715134,1,,medium,2024-03-26,0.5,Tuesday
O00267,TACO,10,8,3.86,4,51.44597587271464,1,,medium,2024-03-27,0.5,Wednesday
O00268,GRILL,16,24,14.83,3,65.51140309754933,1,,medium,2024-03-28,0.5,Thursday
O00269,BRUNCH,7,20,10.3,0,66.89186168893212,1,,medium,2024-03-29,0.5,Friday
O00270,SUSHI,13,20,10.46,3,44.43989427795948,1,,medium,2024-03-30,0.5,Saturday
O00271,VEGAN,12,17,11.86,3,125.2332495285626,1,,slow,2024-01-01,0.5,Monday
O00272,SEAFOOD,12,12,10.69,3,99.51994221286978,1,,medium,2024-01-02,0.5,Tuesday
O00273,PIZZA,14,5,8.22,6,174.58688426083057,1,,slow,2024-01-03,0.5,Wednesday
O00274,GRILL,17,19,7.09,5,61.73903744369197,1,,medium,2024-01-04,0.5,Thursday
O00275,DESSERT,10,14,3.51,6,112.76709350341612,1,,medium,2024-01-05,0.5,Friday
